,title,magnitude,date_time,tsunami,nst,depth,latitude,longitude,location,continent,country,date_parsed
0,"M 7.0 - 18 km SW of Malango, Solomon Islands",7,22-11-2022 02:03,1,117,14,-9.7963,159.596,"Malango, Solomon Islands",Oceania,Solomon Islands,11/22/2022
1,"M 6.9 - 204 km SW of Bengkulu, Indonesia",6.9,18-11-2022 13:37,0,99,25,-4.9559,100.738,"Bengkulu, Indonesia",,,11/18/2022
2,M 7.0 - ,7,12/11/2022 7:09,1,147,579,-20.0508,-178.346,,Oceania,Fiji,12/11/2022
3,"M 7.3 - 205 km ESE of Neiafu, Tonga",7.3,11/11/2022 10:48,1,149,37,-19.2918,-172.129,"Neiafu, Tonga",,,11/11/2022
4,M 6.6 - ,6.6,9/11/2022 10:14,1,131,624.464,-25.5948,178.278,,,,9/11/2022
5,M 7.0 - south of the Fiji Islands,7,9/11/2022 9:51,1,142,660,-26.0442,178.381,the Fiji Islands,,,9/11/2022
6,M 6.8 - south of the Fiji Islands,6.8,9/11/2022 9:38,1,136,630.379,-25.9678,178.363,the Fiji Islands,,,9/11/2022
7,"M 6.7 - 60 km SSW of Boca Chica, Panama",6.7,20-10-2022 11:57,1,145,20,7.6712,-82.3396,"Boca Chica, Panama",,Panama,10/20/2022
8,"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,22-09-2022 06:16,1,175,20,18.33,-102.913,"Aguililla, Mexico",North America,Mexico,9/22/2022
9,"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,19-09-2022 18:05,1,271,26.943,18.3667,-103.252,"Aguililla, Mexico",North America,Mexico,9/19/2022
10,"M 6.9 - 90 km E of Yujing, Taiwan",6.9,18-09-2022 06:44,1,215,10,23.1444,121.307,"Yujing, Taiwan",Asia,Taiwan,9/18/2022
11,"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,17-09-2022 13:41,1,178,10,23.029,121.348,"Lugu, Taiwan",Asia,Taiwan,9/17/2022
12,"M 7.0 - 209 km SSE of Isangel, Vanuatu",7,14-09-2022 11:04,1,192,137,-21.2077,170.239,"Isangel, Vanuatu",,,9/14/2022
13,"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,10/9/2022 23:47,1,272,116,-6.2237,146.471,"Kainantu, Papua New Guinea",Oceania,Papua New Guinea,10/9/2022
14,"M 6.6 - 44 km SE of Kangding, China",6.6,5/9/2022 4:52,0,141,12,29.7263,102.279,"Kangding, China",Asia,People's Republic of China,5/9/2022
15,M 6.6 - south of the Kermadec Islands,6.6,14-08-2022 13:44,1,68,30,-32.6922,-178.959,the Kermadec Islands,,,8/14/2022
16,"M 7.0 - 11 km NE of Bantay, Philippines",7,27-07-2022 00:43,1,152,33.729,17.5978,120.809,"Bantay, Philippines",Asia,Philippines,7/27/2022
17,"M 6.5 - 107 km SSW of Tarauacá, Brazil",6.5,8/6/2022 0:55,0,236,622.73,-9.0618,-71.1647,"Tarauacá, Brazil",South America,Brazil,8/6/2022
18,"M 7.2 - 10 km W of Azángaro, Peru",7.2,26-05-2022 12:02,1,144,236,-14.8628,-70.3081,"Azángaro, Peru",South America,Peru,5/26/2022
19,M 6.9 - ,6.9,19-05-2022 10:13,1,127,10,-54.1325,159.027,,,,5/19/2022
20,"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,10/5/2022 23:06,1,162,220,-23.6141,-66.7236,"San Antonio de los Cobres, Argentina",South America,Argentina,10/5/2022
21,"M 6.6 - 55 km WSW of Masachapa, Nicaragua",6.6,21-04-2022 07:42,1,0,27,11.5538,-86.9919,"Masachapa, Nicaragua",,,4/21/2022
22,M 7.0 - southeast of the Loyalty Islands,7,31-03-2022 05:44,1,0,10,-22.5732,170.349,the Loyalty Islands,,,3/31/2022
23,"M 6.9 - 284 km ESE of Tadine, New Caledonia",6.9,30-03-2022 20:56,1,0,10,-22.72,170.277,"Tadine, New Caledonia",,,3/30/2022
24,"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,22-03-2022 17:41,1,0,24,23.3421,121.636,"Hualien City, Taiwan",Asia,Taiwan,3/22/2022
25,"M 7.3 - 57 km ENE of Namie, Japan",7.3,16-03-2022 14:36,1,0,41,37.7015,141.587,"Namie, Japan",,,3/16/2022
26,"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,13-03-2022 21:09,0,0,28,-0.6831,98.6034,"Pariaman, Indonesia",Asia,Indonesia,3/13/2022
27,"M 6.6 - Kermadec Islands, New Zealand",6.6,2/3/2022 12:52,1,0,24,-30.0528,-177.74,"Kermadec Islands, New Zealand",,,2/3/2022
28,M 6.8 - south of the Fiji Islands,6.8,16-02-2022 20:21,1,0,535,-23.7852,-179.968,the Fiji Islands,,,2/16/2022
29,"M 6.5 - 49 km NW of Barranca, Peru",6.5,3/2/2022 15:58,0,0,110,-4.455,-76.9395,"Barranca, Peru",South America,Peru,3/2/2022
30,M 6.5 - Kermadec Islands region,6.5,29-01-2022 02:46,1,0,8,-29.535,-176.729,Kermadec Islands region,,,1/29/2022
31,"M 6.6 - 80 km SW of Labuan, Indonesia",6.6,14-01-2022 09:05,0,0,33,-6.9291,105.251,"Labuan, Indonesia",,Indonesia,1/14/2022
32,"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,11/1/2022 12:39,1,97,37,52.502,-168.08,"Nikolski, Alaska",,,11/1/2022
33,"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,11/1/2022 12:39,1,23,37,52.502,-168.08,"Nikolski, Alaska",,,11/1/2022
34,"M 6.6 - 53 km SE of Nikolski, Alaska",6.6,11/1/2022 12:39,1,0,19,52.6252,-168.15,"Nikolski, Alaska",,,11/1/2022
35,"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,11/1/2022 11:35,1,50,33,52.48,-167.736,"Nikolski, Alaska",,,11/1/2022
36,"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,11/1/2022 11:35,1,20,33,52.48,-167.736,"Nikolski, Alaska",,,11/1/2022
37,"M 6.8 - 100 km SE of Nikolski, Alaska",6.8,11/1/2022 11:35,1,0,20,52.6563,-167.917,"Nikolski, Alaska",,,11/1/2022
